10135,2015,10	237,1814
10136,2015,10	194,1890
10140,2015,10	1812,14341
10141,2015,10	71,422
10146,2015,10	87,1086
10154,2015,10	28,340
10155,2015,10	141,660
10157,2015,10	120,1723
10158,2015,10	247,2333
10165,2015,10	9,29
10170,2015,10	28,184
10185,2015,10	278,3189
10208,2015,10	222,1467
10257,2015,10	733,4880
10268,2015,10	56,148
10279,2015,10	304,2336
10299,2015,10	1223,10595
10333,2015,10	51,266
10372,2015,10	59,559
10397,2015,10	32557,215661
10408,2015,10	259,1740
10423,2015,10	3898,38288
10431,2015,10	279,3817
10434,2015,10	113,724
10469,2015,10	120,484
10529,2015,10	1709,12562
10551,2015,10	84,512
10561,2015,10	183,1133
10577,2015,10	61,424
10581,2015,10	26,336
10599,2015,10	1143,9540
10620,2015,10	263,742
10627,2015,10	339,1550
10631,2015,10	62,331
10666,2015,10	1,0
10685,2015,10	238,1042
10693,2015,10	4462,32083
10713,2015,10	1159,9199
10721,2015,10	10104,92414
10728,2015,10	86,821
10731,2015,10	85,1093
10732,2015,10	98,1173
10739,2015,10	53,233
10747,2015,10	194,1664
10754,2015,10	80,435
10779,2015,10	61,152
10781,2015,10	651,6423
10785,2015,10	347,3721
10792,2015,10	1580,11605
10800,2015,10	1755,9960
10821,2015,10	8009,52771
10849,2015,10	334,1565
10868,2015,10	413,3461
10874,2015,10	490,4652
10918,2015,10	53,274
10926,2015,10	62,560
10980,2015,10	415,3330
10990,2015,10	236,3118
10994,2015,10	1206,9915
11003,2015,10	531,3193
11013,2015,10	57,430
11042,2015,10	3210,25393
11049,2015,10	217,1420
11057,2015,10	9539,59596
11066,2015,10	2182,13749
11067,2015,10	206,600
11076,2015,10	61,237
11097,2015,10	31,113
11109,2015,10	605,6191
11111,2015,10	123,781
11122,2015,10	138,455
11140,2015,10	362,3576
11146,2015,10	224,1519
11150,2015,10	112,1043
11193,2015,10	1907,13293
11203,2015,10	144,607
11252,2015,10	119,274
11259,2015,10	5881,52351
11267,2015,10	747,4493
11274,2015,10	87,320
11278,2015,10	6768,51525
11292,2015,10	18083,141149
11298,2015,10	20604,214407
11308,2015,10	118,693
11315,2015,10	61,95
11337,2015,10	223,1372
11413,2015,10	177,1112
11423,2015,10	701,5437
11433,2015,10	9891,73699
11447,2015,10	48,165
11471,2015,10	62,497
11481,2015,10	375,2199
11503,2015,10	3,5
11525,2015,10	53,290
11537,2015,10	195,1279
11540,2015,10	1039,9072
11577,2015,10	57,311
11587,2015,10	52,136
11603,2015,10	327,3242
11612,2015,10	397,2373
11617,2015,10	55,388
11618,2015,10	9564,114727
11624,2015,10	151,591
11630,2015,10	176,1510
11637,2015,10	524,3020
11638,2015,10	655,5579
11641,2015,10	150,757
11648,2015,10	123,379
11695,2015,10	157,1669
11697,2015,10	5777,55286
11721,2015,10	411,2355
11775,2015,10	443,2779
11778,2015,10	174,1484
11823,2015,10	511,2585
11865,2015,10	88,476
11867,2015,10	60,474
11884,2015,10	829,5710
11898,2015,10	89,532
11905,2015,10	58,269
11921,2015,10	270,1590
11953,2015,10	234,2260
11973,2015,10	299,2203
11977,2015,10	486,3669
11980,2015,10	56,271
11982,2015,10	360,2476
11986,2015,10	923,6167
11995,2015,10	590,4407
11996,2015,10	629,3993
12003,2015,10	190,954
12007,2015,10	88,383
12016,2015,10	29,12
12094,2015,10	20,143
12129,2015,10	83,1158
12156,2015,10	141,691
